date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:26	11791/11791	---M--	200	added ('OK')	image/jpeg	etag:%222e0f-5af31dae-6362db1033d59d9d;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m4.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m4.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details-2.html)
21:30:26	7331/7331	---M--	200	added ('OK')	image/jpeg	etag:%221ca3-5af31db0-1924171ac7f4cea0;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m5.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m5.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details-2.html)
21:30:26	13258/13258	---M--	200	added ('OK')	image/jpeg	etag:%2233ca-5af31db0-15db914ac86c950;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/l1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/l1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details-3.html)
21:30:28	23177/23177	---M--	200	added ('OK')	image/jpeg	etag:%225a89-5af31db0-96b9e1b8bb0e257f;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/l2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/l2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details-4.html)
21:30:30	9930/9930	---M--	200	added ('OK')	image/jpeg	etag:%2226ca-59ef6232-53897c7addaa615f;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/7.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/7.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-one.html)
21:30:30	8610/8610	---M--	200	added ('OK')	image/jpeg	etag:%2221a2-59ef6232-2f8d5cdfa5bef2a0;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/8.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/8.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-one.html)
21:30:30	7242/7242	---M--	200	added ('OK')	image/jpeg	etag:%221c4a-59ef6234-9fd09346aefd81f6;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/9.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/9.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-one.html)
21:30:32	23377/23377	---M--	200	added ('OK')	image/jpeg	etag:%225b51-59ef6236-779eb9b6178bb7ba;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-three.html)
21:30:36	31295/31295	---M--	200	added ('OK')	image/jpeg	etag:%227a3f-59ef6238-6be2ab137b682f57;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-three.html)
21:30:38	21345/21345	---M--	200	added ('OK')	image/jpeg	etag:%225361-59ef623a-cb4146bbe227fb4;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m3.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/blog/m3.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/blog-three.html)
